Topics,Replies,Views,Time
"Chances of Being Granted a Secret Clearance
CJD_NOLA, 2016",7,1595,2016
"Is my SECRET clearance still active?Is my SECRET clearance still active?
diamondmamba, 2016",4,967,2016
"How far back to list college ?
Go saints, 2016",13,3679,2016
"What is the next step after the investigator transmits the data?
wohwoh, 2016",4,3570,2016
"TS/SCI Question
DBZ2007, 2016",1,616,2016
"Ex wife still contacted during PR? and other questions....
itallgood540, 2016",5,2317,2016
"Security clearance for language officers?
Aldonr, 2016",5,671,2016
"When is my TS lost/downgraded? When is my SCI lost? When is my poly lost?
itallgood540, 2016",3,1586,2016
"Boyfriend's Ex Affecting Clearances?
ellashay, 2016",10,3623,2016
"More Guidance
olemiss927, 2016",1,374,2016
"what if I get denied?
Echo5Lima, 2016",6,973,2016
"Adjudication-FBI support positionTime frame?
jms2014, 2016",2,472,2016
"Two investigations at once?
wohwoh, 2016",0,513,2016
"Quick question about current investigations
DTruth44, 2016",6,1013,2016
"Foreclosure just over seven years agoShould this be listed on the SF-86?
someoldguy, 2016",3,1437,2016
"Public Trust Clearance (SF85P) and negative references
Fanman72, 2016",1,1035,2016
"Public Trust Clearance (SF85P) & Foreign Countries You Have Visited
Frankish, 2016",0,919,2016
"Foreign Vacation travel to not-so-friendly Countries like Belarus
birdsong, 2016",7,950,2016
"SF86 - People Who Know You Well
turner.1005, 2016",2,4226,2016
"Foreign National Filling out SC
ellashay, 2016",7,872,2016
"FOIA for TSC Investigation
mmva, 2016",3,1568,2016
"Length of time for CIA appealLength of time for CIA appeal
Ashera, 2013",8,2675,2013
"Chances of a clearance at NSAWondering if it's worth it...
bad_company, 2016",5,789,2016
"TS/SCI with special program access eligibility - Credit delinquenciesLikelihood of getting a clearance
kaymonique, 2016",2,457,2016
"Public trust position and resume issues
Vamunda, 2016",14,4940,2016
"Help: I recently failed CI Polygraph - I am actively seeking TS/SCI jobs not requiring CI PolygraphFailed CI Polygraph question
cr333, 2016",1,6422,2016
"Dual citizenship - relinquish or not?Should I relinquish my foreign citizenship?
East, 2016",17,9257,2016
"OF-306 and SF-86Termination
deafdiver, 2016",5,1447,2016
"JPAS ""pending""Unsure where I am in the process
Tpreston, 2016",4,1594,2016
"Hoping not to lose my clearance, help
olemiss927, 2016",1,660,2016
"Conditional Secret Security ClearanceGetting a clearance with ""conditions"" attached...
clhjr55, 2015",2,1626,2015
"Foreign Contacts SF-86 HELP
zmp2460, 2016",5,2329,2016
"Financial debt
deafdiver, 2016",1,826,2016
"Fired while waiting for EODFired while waiting for EOD
chipperjones, 2016",7,2109,2016
"What happens to clearance after you decline the job
Zetabear, 2016",3,3031,2016
"Credit check by Doha after more than a yearCredit check by Doha after more than a year[+1] 
Love_federal_job, 2016",0,389,2016
"Probability of Disqualification for DoE InternshipProbability of Disqualification for DoE Internship
natlabdisq, 2016",4,2536,2016
"SSBI No Determination Made Favorable or Unfavorable
victor, 2016",4,5862,2016
"Pentagon will take over OPM background checks after hacks
StuckInLimbo, 2016",11,1628,2016
"Is it worth it to do outside drug testing?
Peptide16, 2016",7,1592,2016
"SF86 for TSCHelp with form
mightymorgs, 2016",6,2264,2016
"CA CONSIDEREDJPAS Entry say CA CONSIDERED
jgardner2, 2016",1,2429,2016
"When typically does the current supervisor get contacted for a SF-86 investigation?
TES87, 2016",5,5135,2016
"Security Clearance with No AccessFollowing up on a recent theme
someoldguy, 2016",1,629,2016
"OPM fingerprinting backlog
angelaxaby, 2016",11,2165,2016
"FBI Polygraph Appeal Process and Results
focus_man_2323, 2016",4,2406,2016
"Interim is denied and work is terminatedInterim is denied and work is terminated
SCQ, 2016",7,2511,2016
"[Shocking News] Clearance process slow; getting slower4th quarter update from Performance.gov
VenetianBlinds, 2016",2,1108,2016
"Agencies/Contractors that don't require Poly for Intel AnalystI want to be an intelligence analyst
TomB, 2016",4,1422,2016
"List eligibility on resume?
idomyownstunts, 2016",4,1580,2016
"Adjudicated- FinallyFavorable
seminolefan72, 2015-  1 , 2",33,9715,2015
"Security Clearances for Contracted Federal Background Investigators
shar, 2016",3,702,2016
"interim and finger printinginterim and finger printing
SCQ, 2016",7,1043,2016
"Public trust and current employer.
shacraig, 2016",1,836,2016
"Need advice on bizarre TS//SCI suspension
razs0207, 2016",8,1526,2016
"Process after PSAB granting and revokingProcess after PSAB granting and revoking
rongcon1, 2016",5,865,2016
"firing from work and security clearancefiring from work and security clearance
TexasGuy, 2016",7,1562,2016
"Is my timeline worrisome or the norm?Please give me your opinion...
doe111, 2016",3,1145,2016
"question for investigators - bankruptcy review
DCFeddie, 2016",1,341,2016
"living address continuityliving address continuity
rstew, 2016",8,5408,2016
"negative employment history and interim clearancenegative employment history and interim clearance
rstew, 2016",2,693,2016
"Two Questions for SF85P (an arrest that was ~2015, and a bill that went to collections)Should I disclose these on my form?
fatcat, 2016",2,878,2016
"Security clearence for a federal contractorHow long does it take?
irottweiler, 2016",9,1161,2016
"2nd time meeting with investigator
oliviab83, 2015-  1 , 2 , 3",42,11633,2015
"Disqualified for Interim TS/SCIJob offer withdrawn
boggle, 2016",4,1266,2016
"Suitability Determination after EOD Date?
Doodle87, 2016",2,1438,2016
"the capacity of ""optional comment"" field in eQIPthe capacity of ""optional comment"" field in eQIP
rstew, 2016",5,1381,2016
"Forgot to list employment on previous sf-85Filling out SF-86 now for new job
hopefulfed2019, 2016",0,1063,2016
"interim after a previous investigation without the decisioninterim after a previous investigation without the decision
rstew, 2016",0,208,2016
"When do they start background investigation?For public trust positions
MarcusWilliams, 2016",10,1335,2016
"JPAS (eQIP) accountusage of JPAS (eQIP) account
TexasGuy, 2016",0,763,2016
"Adjudicated SSBI but no TS?
Shauly, 2016",9,3378,2016
"procedure to apply for a security clearance in industryprocedure to apply for a security clearance in industry
rstew, 2016",4,368,2016
"additional documents need to be turned in along with SF86Does eQIP allow additional documents to be loaded into the system?
rstew, 2016",3,898,2016
"Negative Employment HistoryNegative Employment History
Elizabeth Kabana, 2013-  1 , 2",24,30240,2013
"Background Investigation still open?
Areos, 2015",12,4360,2015
"work based on hours in eQIPwork based on hours in eQIP
rstew, 2016",1,204,2016
"eQIP allowable time to finisheQIP allowable time to finish
rstew, 2016",3,1210,2016
"I Need Answers
Charis, 2016",4,666,2016
"Not sure of my current security clearance situation or how to describe it on my resume
aiccia, 2016",3,1784,2016
"Recent retiree with security clearence questionsRecent retiree with security clearence questions
KeithHack, 2016",3,1219,2016
"Security info breached letter from OPMMay be thats why my clearance is taking this long~~~!!
raafi, 2016",11,804,2016
"termination from contract worktermination from contract work
rstew, 2016",6,655,2016
"LOI & LODwhat is the difference between LOI and LOD
rstew, 2016",4,822,2016
"security clearance issue codesWhat are the inside meaning of issues codes (03A, 07B, 11)?
rstew, 2016",4,5650,2016
"Just got offered a job at a government agency, but worried my past DUI will result in a disqualifier
ParanoidPanda, 2016",0,433,2016
"SF-86 Question 21Wondering how that question is investigated upon.
TheEmployee, 2016",5,2198,2016
"Dual citizenship and security clearance.
ndx, 2016",8,3543,2016
"taking offer back
crod12345, 2016",12,1240,2016
"Foreign relation sf86Omission by mistake
lovejobsques2015, 2016",3,715,2016
"starting my own business but need to get a secret clearance
rossmoyne, 2016",2,682,2016
"Security Clearance WaiverReceived a Firm Offer
Hoping, 2016",2,1502,2016
"First Time Hire.. Clearence application (SF-86) Quesitons.I have a few questions regarding filling out the sf-86 and also mitigating issues before hand.
TheEmployee, 2016",4,1304,2016
"One-time Drug InvolvementOne-time marijuana use in the past year
unclewhiskers, 2016",2,1049,2016
"Secret Clearance time frame?Federal employee with USN
ronan_zj, 2014-  1 , 2 , 3 , 4",77,18897,2014
"DOE ""Q"" Clearance
GWPDA, 2016",0,359,2016
"What happens after the interview?Procedure question
skv, 2016",2,5461,2016
"Possibility of interm/Full TS Clearance?Chances of receiving an interim TS and possibly an eventual full TS clearance
QuietJoey, 2016",9,1281,2016
"Switching from Contractor Secret to FederalNACLC vs. ANACI?
taway111, 2016",5,651,2016
"When are investigation performedcurious
lovejobsques2015, 2016",2,582,2016
"Should I Start A Job Search?Issues with Reinvestigation - Taxes
Doloriel, 2016",2,390,2016
"renewclearance
lovejobsques2015, 2016",1,369,2016
"Security Waiver vs. Interim Clearance
albertp, 2016",4,2123,2016
"Is Federal Clearance Assistance Service (FEDCAS) any good?Should I use them to assess likelihood of obtaining clearance?
@pply, 2016",3,1763,2016
"USMS Background Investigation
applicant0022, 2016",3,1817,2016
"Can your offer be revoked if finger prints take longer?
raafi, 2016",0,236,2016
"SF-86 Mental Health Question while taking meds
hk2105, 2016",6,17545,2016
"Security Clearance time frame once fingerprinted?
aces&eights, 2015",5,1673,2015
"Need Help ASAP: Really unsure of what is going on....
Rose0984, 2015",17,3433,2015
"Escape from Loss of Jurisdiction status?[+1] 
tcrimsonk, 2016",1,539,2016
"Up for Re-Investigation, have a few questions
alexsmith, 2016",2,607,2016
"Explaining Security Clearance Termsclearancejobs.com article from 2011 lays it all out
someoldguy, 2016",0,317,2016
"Mental illnessWill a mental breakdown kill a clearance?
ZombieContractor, 2016",9,2075,2016
"DHS Clearance and an HR ErrorDHS Clearance and an HR Error
Rmyersfed, 2016",1,420,2016
"FAQ, helpful if you're just starting the processRookie questions, what if questions
Ready2Go2, 2016",1,563,2016
"Is a ""little"" lie on a SF-86 a big deal?""He claimed to be ex-CIA and was quoted as an expert on Fox News. Prosecutors say it was a lie.""
liaisonguy, 2016",3,4921,2016
"How long it take OPM to do Fingerprints?
raafi, 2016",17,6381,2016
"Security ClearnanceReport fraud
m4ri4, 2016-  1 , 2 , 3",40,3299,2016
"Should I need an attrony to responsd to Statement of Reason?Should I need an attrony to responsd to Statement of Reason?
Love_federal_job, 2016",14,2210,2016
"Interim Clearance - BankruptcyFiled Chapter 7 3 months ago
Hoping, 2016",5,1095,2016
"Arrested then ""un-arrested"" on scene--SF86 Reportable?arrested and charged w/DUI, let go after field sobriety test
Crickettime, 2016",11,2580,2016
"While waiting for FO, can you accept another position as fed contractor?
raafi, 2016",3,443,2016
"Denied due to suitability and current clearance
applicant0022, 2016",0,652,2016
"One job waiting for Secret to be reactivated, 2nd job wants to do a NAC background check???
Rose0984, 2016",2,366,2016
"Special Program AccessNew investigation?
taway111, 2016",5,5733,2016
"How Often Are Interim Clearances Granted?
cg23, 2016",1,570,2016
"Should I wait to apply for a job--background issues.
@pply, 2016",0,331,2016
"Special Agreement Check(SAC) with inquiries timelineHow long?
raafi, 2016",3,2506,2016
"Two security clearances at the same time?Is it possible to put in for two security clearances at the same time?
SCORBUST, 2016",1,763,2016
"Quit after being told you would be fired?
Ouroboros, 2016",4,2235,2016
"Spouse is a Permanent ResidentFilling out SF 86
Hoping, 2016",2,1281,2016
"Facing Layoff
Charis, 2015",4,1826,2015
"Returning to servive
Tigers fan, 2016",2,339,2016
"could not get clearance - please help me guess why
feithline, 2016-  1 , 2",21,5753,2016
"Non-Sensitive PSI / e-QIP Process Timeline
11bmonkey, 2016",1,884,2016
"New position, clearance expiring
Slev7n, 2016",2,162,2016
"Questions for Interim Secret on the Federal side
Fenwick46, 2016",3,448,2016
"Level 1 ClearanceNegative Comments from Previous Supervisors
mmld, 2016",0,265,2016
"How long is the reinvestigation backlog?Periodic reinvestigations are lower priority than initial. How long is the wait?
liaisonguy, 2016",1,1531,2016
"Adjudication taking a long time, now thisIs this a good sign? Bad sign? Can't tell?
someoldguy, 2016",4,984,2016
"Is there a way to check the status of an investigation?My contact person at the security office won't tell me
MarcusWilliams, 2016",6,3088,2016
"Denial of Public TrustFormer Fed aplied for new FED position; denied Public Trust
Fed_Candidate1, 2016",4,3642,2016
"Denied no SORClearence denied and no SOR
Skydive, 2016",16,1776,2016
"References for a Secret Clearance
xokocodo, 2016",1,578,2016
"SF-85p Question
Odigo, 2016",2,371,2016
"Adjudication processingSecret clearance timeline
newbie0899, 2016-  1 , 2",25,7593,2016
"Value of a Security Clearance
mudpie, 2016",2,1088,2016
"Just spoke to Investigator for security clearance
cclark192, 2016",4,922,2016
"Defaulted Student Loan - Will I get clearance?Defaulted Student Loan - Will I get clearance?
mona210, 2020",10,12205,2020
"Sudent loans on foreberance & Taxes due are incollectibleSudent loans on foreberance & Taxes due are incollectible[+1] 
DoDapp, 2015",13,761,2015
"Where to get fingerprints done? DeCA
11bmonkey, 2016",5,1133,2016
"References for Public Trust Clearance - ModerateConcerned References will not be accepted.
drd20004, 2016",0,432,2016
"Got a SOR and have questions
Billiam, 2016",6,2327,2016
"Chapter 7 BankruptcyFiled Bankrupycy 2 1/2 months ago
Hoping, 2016",3,472,2016
"Question 21 and interim clearance
Guydudeperson, 2016",5,492,2016
"Fired without Clear Explanation
kevork, 2016",5,723,2016
"Question on a Security Clearance when a previous Citation for Petty Theft does not show up for FBISome of you will hate me for this question but if you can I'd still like an honest answer.
QuietJoey, 2016",10,1892,2016
"Advanced EOD not approved in lieu of adjudicated BI?
diamondmamba, 2016",1,1191,2016
"Bank Statements?.
@pply, 2016",1,2202,2016
"Foreclosures and Security ClearanceSoon to be Military Retiree with Secret Clearance and received DAC job offer
TEEREED, 2016",7,1367,2016
"Report on Security Clearance DeterminationsThis may be interesting to some
Dida, 2016",1,777,2016
"BI walking into local Police DepartmentPD Refusing to co-operate
MikeCharlie00, 2016",1,542,2016
"DOE ""L"" Level TimelineAny Help Would Be Greatly Appreciated
hawk807765, 2015-  1 , 2 , 3",54,10671,2015
"Got an offer, Applying for clearance, HELP!Section 22 Police Record questions
EEvick, 2016",5,906,2016
"Clearance Level?Need Help determining what level of clearance I am receiving, if any.
m1432, 2016",1,431,2016
"Two different companies sponsoring your clearance
steppinthrax, 2015",3,3355,2015
"Do they contact references by phone or mail?For public trust positions
Dida, 2016",1,853,2016
"Will this incident jeopardize my chances?
dreTHEgreat, 2016",1,415,2016
"Military TS/SCI Concerns OPMProcess taking far to long...
awilson9172, 2016",17,2758,2016
"What counts as being delinquent on federal debt?what about taxes?
Dida, 2016",4,4539,2016
"PSI - What to wear?
irwltjty, 2016",4,1847,2016
"Reporting a police report that resulted in no charge
anon916, 2016",4,2059,2016
"Investigation stand stillOPM investigations
hemihem, 2016",1,430,2016
"Credit check---how to tell?which site is best?
patientlywaiting123, 2016",3,919,2016
"TS/SSBI BI questionBI and spouse is currently on probation
Nnnppp, 2016",2,547,2016
"Has security clearance processing slowed since the OPM breach/shutdown?
adtakasugi, 2015",16,10404,2015
"What do written inquiries ask?What do written inquiries ask?
Jonas1845, 2016",2,735,2016
"Timeline and checks for public trustBI checks
need_info, 2015",7,6361,2015
"My record
ThomasD, 2016",6,536,2016
"Mitigating Public Intoxication
sky26, 2016",2,898,2016
"Public trust background checkEpa timeframe
312VET, 2016",0,380,2016
"TS background investigation and parentsdrug use questions
federale99, 2015",5,3443,2015
"Question 18 on SF 85PNot sure if I've been investigated for clearance
Dida, 2016",1,358,2016
"BI form asks for traffic ticketsHow to find records?
MarcusWilliams, 2016",4,849,2016
"Public Trust - Background Investigation question
torey, 2016",6,2819,2016
"DOD TS/SCI to CBP secret reciprocity
AMOC DEO, 2015",3,2806,2015
"Was arrested while holding an interim clearance
MakingItWork, 2016",4,520,2016
"What to do about resume consistencies?Will investigator compare resume to SF form?
Dida, 2015",11,2591,2015
"Never bothered to change license or car registration after movingIs that going to be a problem for clearance?
MarcusWilliams, 2016",3,466,2016
"DOHA decision disclosure for Military and Fed WorkerDOHA decision disclosure for Military and Fed Worker
rongcon1, 2016",0,151,2016
"New job - Secret Clearance Req - Oh oh!
whatsapro, 2015",3,690,2015
"Follow Up Questions to Question 21 on the SF86Mental Health Reasons
xine, 2015",2,650,2015
"What exactly is a foreign contact and does the definition vary among agencies?
kahntu3, 2015",2,1471,2015
"OF-306 - Question 12Have you been fired or did you resign? Detailed information or simple when explaining the issue?
CF729, 2015",2,733,2015
"Marriage = loss of clearance?TS/SCI clearance info help[+1] 
HaveQuestions, 2015",8,1177,2015
"Did the USIS issue create adjudication backlogs?
jplusip, 2015",1,430,2015
"Official Offer but now they want to check credit when they didnt before. Help
SpRoCkEtS, 2015",1,387,2015
"The AM hack and security clearancesAnything I can do?
J Solo, 2015",8,1279,2015
"Help? Will soon need interim secret clearance, but I'm a ""worry wart""Freshly graduated newbie in need of reassurance and or guidance
ramblincharger, 2015",3,1341,2015
"NASA - Prior drug use a deal breaker for positions of public trust?Please share your experience
UVY10S, 2015",3,1895,2015
"Denied Clearance, but which one?Not sure if I was denied interim or actual clearance
weewee03, 2015",12,1754,2015
"Tax issues, what to say? Is this going to be a problem?
DOJesq, 2015",4,1042,2015
"Tier ii clearance
frbbos, 2015",1,1518,2015
"Staffing Services
olemiss927, 2015",5,1805,2015
"Reference refusing to cooperate
pepper456, 2015",11,2245,2015
"RRU to Air Force CAFdowngrade to Public Trust clearance
mike h09, 2015",0,694,2015
"upcoming reinvestigation
coolkid67, 2015",8,1122,2015
"Top Secret Clearance with ties to RussiaWill I be able to get a Top Secret Clearance to advance my military career?
MikePendelov, 2015",3,1428,2015
"ANACI, What is the typical turn around
intransition, 2015",2,880,2015
"Does interview process continue after signing SF312?Called for Interview
Wastnaway, 2015",3,1227,2015
"Chabnging statement after interview
rookieguy, 2015",3,596,2015
"Being found ""unsuitable"" vs being deniedIs there a distinct difference?
freedom44, 2015",6,2594,2015
"Interviewing relativeswhat questions are asked?
collegegrad13, 2015",2,2240,2015
"sf86 Drug disclosuresf86 filled out for internship could make me ineligible
throwawayaccount, 2015",3,2242,2015
"question regarding background investigation ssbiGoing through SSBI
rookieguy, 2015",10,2904,2015
"Time line after DOHA hearingTime line after DOHA hearing
rongcon1, 2015",4,1140,2015
"Moving from TS clearance to Q (NS) clearanceI would like to know if anyone can provide an estimate of how long it may take.
fed020202, 2015",4,731,2015
"Simultaneous BIs
Yemster, 2015",0,261,2015
"Polygraph issue and PR
Builder, 2015",1,503,2015
"Reporting dismissed tickets?
coffee, 2015",8,2394,2015
"Credit Reporting by the InvestigatorsI'd like to know how the investigators find out credit-related information
clhjr55, 2015",2,821,2015
"Applying to new company in middle of security clearance processSubmitted EQUIP for security clearance and want to apply to a different company now
Scoopbulldog, 2015",0,318,2015
"Statement of Reasons helpTimeline for SOR response?
bella2015, 2015",2,701,2015
"What is an ""arrest"" for purposes of the SF-86?
Robert1917, 2015",12,2911,2015
"Need advice on a NOPA please!Should I withdraw or go forward with a NOPA?
freedom44, 2015",3,937,2015
"Can I get my house cleared?Hillary Clinton's Lawyer gets his office cleared
someoldguy, 2015",2,523,2015
"Previous Employer Issue with Top SecretGives bad vibe
MikeCharlie00, 2015",6,1888,2015
"Top Secret versus SecretThe Difference ..
MikeCharlie00, 2015",8,1469,2015
"Clearance requirements for Cybersecurity Workforce DoD
HokieTiger, 2015",1,428,2015
"I messed up - Am I *****ed?NROTC/Security Clearance Question
sf86throwaway, 2015-  1 , 2",25,11402,2015
"Need Advice and questions anwseredClearance question
Joe, 2015",3,473,2015
"FSO requesting additional information after e-Qip
AirEagle, 2015",8,1616,2015
"Tsa and BoP
Odigo, 2015",1,559,2015
"DOS TS/SCI Process and Timeline
Maddie78, 2015",6,1268,2015
"Cleared. Now what?Cleared. Now what?
DoDapp, 2015",0,365,2015
"Laid-Off Before JPAS UpdateQuestion regarding interview
MikeCharlie00, 2015",1,369,2015
"Should be exciting to clear me...thoughts?
PurpleMarker, 2015",6,1069,2015
"DoJ Background Check and an Unfiled Tax Return
albertp, 2015",10,5850,2015
"In Need Of Advice
DBZ2007, 2015",2,368,2015
"Possible Piracy Over $1000/6mo, Military ClearencePossible Piracy Over $1000/6mo, Military Clearence
Steven Micheals&#111;n, 2014-  1 , 2 , 3",45,7790,2014
"More than 24 months, less than 10 years.
PrestampedEnvelope, 2015",4,564,2015
"Interim Revoked
chm513, 2015",5,1558,2015
"Open SSBI since January, no clearance yet?
Yal2015, 2015",4,791,2015
"8 Months & Still WaitingDOD Security Clearance
GDEBWaiting, 2015",14,4073,2015
"Clearance reciprocity and the FBIWant to know if I will need a new investigation.
maniacmcgoo, 2015",4,1775,2015
"FOIA/PA Request Received
Cimms, 2015",1,803,2015
"USPS NACI Background check
jv95039, 2015",2,16508,2015
"How are decisions released?notification
patientlywaiting123, 2015",2,660,2015
"Financial WoesI have a poor financial history due to lower than desirable wages...
clhjr55, 2015",3,586,2015
"Sales of marijuana conviction - 23 years old - sf86 issues?Looking to obtain security clearence
clarence5, 2015",8,1092,2015
"Proof of US citizenship
Mab Asakura, 2015",2,1370,2015
"Case transfered from one investigator to anotherWrong investigator originally assigned
amiclear, 2015",2,309,2015
"Should I be worried about my chances?
srcb31, 2015",1,640,2015
"Are all top secret clearances the same?
dwebber150, 2015",4,1548,2015
"Employer Letter of InquiryReceiving and processing
MP 1996, 2015",1,915,2015
"Form SF86a CancelledWhere to put additional Information? SF86a Obsolete
govna, 2015",2,1444,2015
"Worried about getting a security clearance
Worriedguy99, 2015",11,3123,2015
"Q clearence - non sensitive
tranceaddict, 2015",1,2414,2015
"trace back period for a secret clearanceHow far will it be traced back for a secret clearance?
cMon, 2015",5,766,2015
"5150 caused by LSD - Should I even bother applying for positions that require security clearance?
Antoine Griezmann, 2015",9,4051,2015
"Formerly Homeless + Sealed Name Change + crazy foreign family + boss - is clearance still possible?
cheery, 2015",5,689,2015
"Transfer a clearance?Do clearances transfer from one contract to another?
bandit382, 2015",1,351,2015
"Interim Clearance -- Deniedsecurity clearance denied
newbie0899, 2015",7,7844,2015
"Do I have Reason to Worry?
CPA Candidate, 2015",3,741,2015
"NACI and termination for cause outside investigation period
Curious12345, 2015",1,723,2015
"Individual allegedly lies and gets hiredDoes that mean its too late to do anything about it?
KramVanBuren, 2015",1,601,2015
"E-QIP back online!So they say
fed_emp_want, 2015",1,505,2015
"Done! Clearance grantedDone! Clearance granted
DoDapp, 2015",12,1722,2015
"Abnormal clearance timeline?Nearly 2 months without hearing anything
_waiting_, 2015",5,1363,2015
"Clearance Required: non critical clearance with confidential accessClearance Required: non critical clearance with confidential access
Bennett1968, 2015",0,274,2015
"retain sf86paper sf86
fed_emp_want, 2015",3,785,2015
"work statuswork status for an informal company without any documentation
cMon, 2015",2,269,2015
"Has the OPM / eQIP affected your job opportunities requiring a Top Secret clearanceObtaining a Top Secret clearance
hemihem, 2015",0,427,2015
"OPM Shuts Down eQIP ApplicationVulnerable to Cyber Attacks
SDAnalyst, 2015-  1 , 2",29,5975,2015
"DoS Security Clearance
KeepOut, 2015",4,1526,2015
"Are clearances being granted while eqip is down?
amiclear, 2015",8,1867,2015
"Foreign family member on secret clearance
__hopeful__, 2015",2,641,2015
"SF85P employer check timelineSF85P employer check timeline
need_info, 2015",8,2546,2015
"Obtaining TS/SCI - Marrying Foreign NationalSuggestions/advice is much appreciated
Atr0phied, 2015",2,2098,2015
"paper sf86through scan or post mail
fed_emp_want, 2015",0,241,2015
"Job Title on Resume
FedClear1234, 2015",1,485,2015
"Process for transfer within same agencyAnother background investigation for a new job at a new office but within same agency?
Spartan_Mullet, 2015",1,302,2015
"TS/SCI process but no job
DBZ2007, 2015",2,428,2015
"SF85 passed need SF85PSF85 passed , will SF85P go faster
teanet, 2015",1,607,2015
"hired before background check
aammgg, 2015",2,1153,2015
"US Navy SEALs Secret Clearance
ptownboogie, 2015",6,7175,2015
"USCIS Public Trust Position and Marrying a Forigner
Redredred, 2015",0,970,2015
"OF-306, question 9Should I include arrests without convictions?
devildogdevildog, 2015",1,1883,2015
"Changing Agencies - ClearanceFrom VA to DLA
Bennett1968, 2015",2,293,2015
"Non-Sensitive Position and Finances
Ganymede, 2015",7,1310,2015
"eQIP and Paper Filing SF86130pps on paper
GWPDA, 2015",6,1664,2015
"Denied clearance by CIA, how long does appeal take
yPAme, 2015",9,4757,2015
"Active TS/SCI; second clearance denied in adjudicationProspects for future clearances/jobs
rejectedinadjudication, 2015",1,1040,2015
"Investigation hasn't closed yet
Areos, 2015",1,325,2015
"SSBI joining USAR
Bertolli, 2015",2,1480,2015
"Couldn't see status
ramba, 2015",4,548,2015
"Can't decide - Need your unbiased thoughts.Job offer might cause my re-investigation to be halted, TS to expire.
tcrimsonk, 2015",4,407,2015
"expunged charges and security clearance
bubba w, 2015",3,2750,2015
"Taway111 Got His Clearance!!!Timelines included for reference
taway111, 2015",19,1948,2015
"e-QIP Shutdown for ""extended period"" -- meaning no interim?
phunter30, 2015",10,2291,2015
"What this response means?
Love_federal_job, 2015",5,1178,2015
"No SF85 or SF86
SpRoCkEtS, 2015",0,237,2015
"Can you appeal a public trust denial?Was recently given an unfavorable response, is it possible to appeal?
guyver83, 2015",8,8927,2015
"Suitability wait time
MommyEsq, 2015",1,482,2015
"Question - TS/SCI downgrade to Secret
syencelabb, 2014",8,3755,2014
"Consultant to go over formsHelp in filling out forms correctly
need_info, 2015",14,1299,2015
"Question about the time frame for obtaining security clearanceHow much longer after the investigator interview?
domarp, 2015",4,1439,2015
"TS upgrade with FN Spouse with high networth
blu001, 2015",2,440,2015
"Repeated foreign travel during TS reinvestigation?How much of a deal-breaker will this be?
Televangelist, 2015",8,2441,2015
"Forgetting to list a foreign contact
jdtraub, 2015",1,1029,2015
"Update regarding Lied to by my security officeSituation update
jumaxa12, 2015",1,286,2015
"Can a NACLC transfer to a different contractDo clearances transfer from one contract to another?
bandit382, 2015",1,358,2015
"JPAS QuestionsWho updates it?
taway111, 2015",5,2914,2015
"Public Trust taking forever3 weeks and I don't think they started
@pply, 2015",0,523,2015
"Lied to by my security officeMy organization's security officer lied
jumaxa12, 2015",9,913,2015
"Mental health concerns
scm90, 2015",2,798,2015
"Obtaining an interim clearance with a criminal chargeinterim clearance, charged but dismissed
newbie0899, 2015",3,1154,2015
"Late tax question
Slev7n, 2015",1,952,2015
"Advice on Marijuana and Military Security Clearance
Jak1990, 2015",4,1544,2015
"Chances of suspending clearance
crystal_yajing, 2015",4,472,2015
"Moderate Risk PT...should I be worried?
unemployedgrad, 2015",1,415,2015
"SF-85P and Several Issues
Hawkeye85, 2015",2,731,2015
"SF86 -- Criminal Conductinterim clearance, automatic disqualifier
newbie0899, 2015",4,943,2015
"SF85P + previous employment historyReasons for leaving previous job
need_info, 2015",6,2232,2015
"RRU QuestionsHas it ever helped anybody?
taway111, 2015",7,2295,2015
"How long it take to complete secret security clearanceWhat is time frame for secret security clearance
Mechanical(PE), 2015",6,5235,2015
"Massive OPM Data Breach!Just what we needed...
taway111, 2015",8,1131,2015
"Nanny's citizenship and security clearance
FedClear1234, 2015",8,1555,2015
"Landlord relationship souring since moving out: what to do?Landlord unexpectedly salty about cleaning
OCDApp, 2015",1,201,2015
"Questioon about e-Quip
delois62, 2015",0,170,2015
"Chances of interim secret clearance
needhelpplz, 2015",1,388,2015
"DODCAF approval time frame
Love_federal_job, 2015",6,819,2015
"Internship Public Trust Clearance
Greensight, 2015",0,406,2015
"Do I need the fingerprint check if transferring to different agency?
ssmssm, 2015",2,360,2015
"SF85P & SF86 at the same time?
MA2014, 2015",6,2624,2015
"Debt Consolidation Program - Good or Bad ?!?Advice on Debt Con. Program
DoSHopeful, 2015",3,3437,2015
"Arrest Record on Clearance Renewal
rbick, 2015",4,744,2015
"Background does not meet the Agency's Conditions of Employment
ps5811, 2015",3,1127,2015
"Clearance Processing on Weekends?
DBZ2007, 2015",3,692,2015
"SC for Naturalized CitizenNaturalized Citizen
Melettuce, 2015",5,1676,2015
"TS for American CivilianWait time?
sudoer, 2015",0,227,2015
"Old SF86 Question
JackUSA, 2015",3,981,2015
"same job new security clearance requirementnow they want me to get Top Secret/SCI
penrod, 2015",4,520,2015
"SF86 InvestigationOmitting an Arrest During the Personal Interview.
Chasmataz, 2015-  1 , 2",20,6291,2015
"Security Clearance with DV arrest and dismissal
Jmc083, 2015",0,367,2015
